code_insee,pisc
2B257,1
34192,1
77060,1
34194,1
35085,1
85082,1
65481,2
68154,2
85083,1
57463,6
85084,1
34199,1
77067,1
67267,1
32013,1
76178,1
59249,1
63300,1
22215,1
82013,1
90033,1
81124,1
62413,1
72215,1
2B261,1
63308,1
60636,1
2B267,1
08362,1
08363,1
35093,1
17274,1
35095,1
19057,4
68162,1
08367,1
85092,2
24004,1
82021,1
31135,1
40046,1
90041,1
64204,1
72223,1
70442,1
60644,1
62427,1
81139,1
70447,1
09261,1
19062,1
26193,3
17283,1
17284,1
57480,1
67281,1
77083,1
26198,1
69066,1
15101,1
76196,1
74010,3
65100,1
23124,1
24015,1
57489,1
73121,1
81140,1
15108,1
72231,1
74014,2
24019,1
73124,1
71342,1
31149,1
30258,1
81145,1
95500,2
82037,1
2B283,1
17291,1
19073,1
69072,1
59271,1
17295,1
59273,2
69076,1
17299,2
14220,2
59279,1
30263,1
15117,1
66003,1
40065,1
02643,1
73132,1
66004,1
72241,1
74024,1
15119,2
14228,1
30268,1
62443,1
72244,1
66008,1
30269,1
66009,1
63338,1
09281,1
09282,1
2A004,2
69081,2
18197,1
69084,1
15120,1
07102,1
59286,1
15122,2
69089,1
15124,1
24035,1
30274,1
54430,1
24037,2
27701,1
54431,1
64233,1
56214,2
81163,1
55324,1
57106,1
66017,1
47306,1
74037,1
73146,1
65127,1
97302,3
64237,1
57109,1
97304,1
97305,1
63349,1
97306,1
97307,1
95527,2
97309,4
09293,1
19094,1
69091,1
59291,1
59295,1
15134,1
14243,1
59299,2
22262,1
16025,1
65130,1
47310,1
73150,1
07117,1
47312,1
16028,1
15138,1
66024,1
74044,1
82065,1
64245,1
97311,1
70482,1
72264,2
66028,1
97312,1
73157,1
65138,1
72269,1
60689,1
15142,1
24053,1
39300,2
24055,1
38412,1
82072,1
81182,1
14258,1
32079,1
49107,1
22278,2
66037,1
82076,1
64256,1
47328,1
88413,2
60695,1
78615,1
89309,1
15152,1
07133,1
15153,2
32083,1
22282,1
56240,2
23174,1
38421,3
64260,1
73171,1
38422,1
23176,1
24067,2
74063,1
38423,1
24068,1
73173,1
56244,1
38425,1
89311,1
72283,1
78621,1
56247,1
74068,1
82087,1
66049,1
56248,1
88426,1
50502,1
15162,1
02691,2
56251,1
63380,1
32096,1
15168,1
49125,1
15169,1
82094,1
49127,1
73187,1
82097,1
11202,2
21003,1
11203,1
95563,1
11206,1
21007,1
66060,1
16065,1
74080,1
56260,2
16066,1
74081,1
38442,1
49135,1
66065,1
58046,1
63393,1
66067,1
12101,1
78640,1
11212,1
78642,1
38449,1
95572,1
64289,1
10323,1
89337,2
78646,3
10325,1
71014,1
61214,1
71016,1
10329,1
62108,2
15182,1
16073,1
07165,1
57160,1
66071,1
24096,1
15187,1
07168,1
24098,1
74094,1
13001,7
13002,1
74096,1
38457,1
01420,1
95580,1
58059,2
13004,4
89344,1
13005,3
95582,1
21024,1
03205,1
12115,1
53201,1
63003,1
95585,1
01427,1
53206,1
63009,1
60337,1
62119,1
16085,1
58062,1
15196,1
07178,1
65192,1
38463,1
13011,1
65195,1
12120,1
38466,1
66088,1
13014,2
38468,1
13015,1
63010,1
88465,1
61230,1
13019,2
21038,1
88468,1
95598,1
70145,1
16090,1
66091,1
38471,1
05001,1
38474,1
13022,1
05003,1
04112,1
39367,1
05004,1
39368,1
58079,1
13024,1
05006,1
45200,1
04116,1
01443,2
78674,1
02334,1
13027,1
13028,2
45203,2
89368,1
12138,1
62133,1
50551,1
54115,1
63028,1
95203,1
45208,2
71047,2
91645,1
39373,1
05010,1
58086,1
38485,1
12140,1
13032,1
02340,1
13035,1
11253,1
21054,1
04126,1
46102,1
12145,2
11254,1
03236,1
88486,1
78686,1
89378,1
60360,1
88487,1
13039,1
12148,1
89379,1
01457,1
95210,2
51454,7
63038,1
95218,1
95219,1
91657,1
49180,1
49183,1
58094,1
58095,1
13040,1
89380,1
13041,1
13042,1
05023,1
89382,1
04134,1
11262,4
47001,1
63040,1
13047,2
47004,1
89387,1
04138,1
11266,1
45224,2
52353,1
63047,1
37208,1
55029,1
50576,1
77407,1
95229,1
13050,1
89390,1
13051,1
39397,1
13053,2
04143,1
02361,1
13054,2
39399,2
05036,1
63050,1
03254,1
37211,1
13056,1
62160,1
45232,2
13058,1
12167,1
37214,1
04149,1
12168,1
45234,3
71073,1
46126,1
12169,1
10387,2
46127,2
53255,1
46128,1
71076,1
05040,2
13063,2
03262,1
05046,2
03264,1
12176,1
54152,1
04158,1
11286,1
10395,1
79201,1
78310,1
79202,1
47027,1
78311,1
37226,1
89003,1
29207,1
59601,1
46138,1
88114,1
45248,1
27428,1
59603,1
60395,1
70197,1
89007,1
62178,1
54159,1
59606,1
91687,1
13071,2
02381,1
12183,1
13075,1
63070,1
47032,2
37231,1
46143,1
37233,1
45252,1
52380,1
53271,1
13078,1
47035,1
61292,1
63075,1
95250,1
61293,1
78322,1
77431,1
76540,3
46148,1
95252,2
45258,1
91691,1
89018,1
91692,1
10006,1
13080,1
05061,3
13081,1
38130,1
29220,1
13084,1
05065,1
38133,2
04178,1
12197,1
12198,1
62193,2
