code_insee,resto
90029,3
80228,24
70428,8
80229,1
2B255,1
60628,1
2B257,3
26170,6
26172,5
26174,2
77060,3
16374,18
67260,1
77061,5
26176,3
67261,6
26177,2
67263,3
57462,1
26179,6
16378,2
67264,1
57463,590
77065,2
16379,2
57464,1
67266,2
57465,5
77067,23
67267,41
57466,1
77068,1
67268,5
57467,3
77069,7
57468,1
23105,1
57469,3
90030,1
23108,1
90032,11
80231,1
70431,1
90033,14
90034,3
60631,4
70433,2
60632,2
80234,1
2B261,11
70435,1
90037,1
60635,3
90039,6
60636,14
70438,1
2B265,5
70439,1
60639,5
2B267,1
26181,2
26182,2
26183,2
16382,1
16383,1
77070,2
26185,6
16384,3
16385,1
67271,1
26188,5
16388,1
77075,2
67275,2
57474,22
67276,1
57475,2
23112,2
67277,2
57476,1
77078,1
67278,1
57477,1
77079,11
67279,2
74001,9
23115,1
57479,1
74002,8
23116,1
54400,1
74003,4
64202,1
90041,2
80240,6
54402,1
90042,3
80241,2
74005,8
64204,16
74006,3
60641,2
74007,9
90045,2
80244,1
74008,25
90046,1
60643,1
74009,1
90047,1
60644,7
70446,2
80247,1
70447,4
90049,1
60646,3
60647,2
2B275,1
26191,6
16390,2
26192,1
26193,6
16392,1
26194,2
16393,3
67280,2
26196,3
67281,12
57480,44
77082,3
26197,12
67282,19
57481,5
77083,56
26198,203
16397,1
67283,8
57482,2
77084,2
16398,1
57483,15
77085,31
67285,1
57484,7
77086,1
67286,4
67287,1
77088,5
23123,1
57487,33
74010,639
23124,2
57488,1
64210,1
74012,212
74013,17
23127,1
74014,47
64213,18
90052,13
64214,1
54413,1
70451,6
90053,6
60650,1
74016,3
70452,1
90054,1
60651,2
80253,15
64216,2
54415,4
95500,126
70453,1
60652,2
74018,3
64217,2
90056,1
2B281,3
74019,8
64218,1
70455,7
90057,1
80256,1
54418,1
90058,2
2B283,5
95504,6
60657,1
70459,2
2B286,7
95509,8
2B289,1
67290,2
77091,1
67291,7
67292,1
57491,8
77093,1
57493,1
23130,2
67295,3
77096,4
67296,7
23133,1
67298,1
57497,1
77099,5
67299,2
57498,4
74021,6
80260,2
74024,1
64223,1
80261,12
74025,2
64224,2
23139,1
54423,1
80262,3
74026,9
64225,1
60661,2
80263,2
74027,2
54425,5
95510,4
90065,1
80264,1
54426,1
70464,1
90066,1
74029,3
54427,4
90067,3
54428,2
90068,10
60665,9
70467,10
90069,1
60666,3
60667,8
80269,1
2B296,6
2B298,41
07100,2
07101,10
07102,22
23143,1
23144,1
74031,5
07107,6
64230,7
74032,13
64231,1
23146,1
54430,16
90070,1
74033,11
07109,1
54431,52
90071,3
74034,3
64233,3
23148,1
54432,7
90072,2
80271,2
74035,1
54433,1
60670,6
80272,1
74036,1
54434,1
60671,1
80273,1
74037,3
64236,1
70473,10
90075,2
80274,2
74038,4
64237,3
90076,2
64238,2
60674,4
95523,4
54439,6
70478,1
60678,2
95527,39
07110,17
07112,2
07113,2
23151,1
07115,10
74040,10
38400,3
07116,6
58002,2
74041,1
38401,8
07117,8
23155,2
74042,34
07118,1
64241,1
58004,2
90080,1
74043,13
07119,5
90081,1
74044,3
80281,1
74045,1
38405,3
60680,2
64245,1
58008,1
70482,5
60681,1
38407,3
60682,2
80284,2
74048,1
38408,5
64247,1
90086,1
74049,4
38409,3
90087,4
60684,10
64249,20
90088,2
60685,1
90089,6
60686,2
80288,1
70489,1
60689,2
95539,62
07120,1
07121,2
07122,4
07123,2
58010,3
74050,1
38410,4
07126,5
23164,2
74051,2
07127,4
64250,3
23165,3
74052,1
38412,8
07128,2
64251,1
90090,1
38413,1
07129,12
54451,3
74054,2
64253,1
23168,2
38415,4
64254,1
23169,1
70491,2
90093,5
74056,169
38416,23
64255,1
70492,1
89302,1
90094,2
74057,3
38417,3
64256,14
90095,2
80294,1
74058,9
95541,2
89304,3
38419,1
64258,1
90097,5
60694,1
64259,4
95543,1
89306,1
60695,2
54459,3
89307,1
90099,7
80298,2
89309,11
07130,2
07131,4
07132,12
07133,4
07134,1
23174,5
74061,1
38421,89
64260,81
23175,1
58023,1
74062,4
38422,11
07138,8
64261,1
23176,13
58024,4
74063,56
38423,15
07139,2
64262,1
23177,1
74064,3
38424,2
54462,2
74065,1
38425,10
89311,1
38426,1
64265,1
89312,1
74067,7
38427,1
58029,1
74068,6
54466,1
74069,1
64269,10
54468,1
10304,1
95554,1
95555,48
89318,1
07142,1
23180,1
07143,4
23181,2
07144,1
07145,4
74070,6
07146,1
58032,1
74071,1
38431,3
64270,1
23185,1
38432,1
07148,1
38433,3
07149,2
58035,1
74074,1
64273,2
23188,1
58036,1
74075,2
64274,3
23189,2
54473,1
58037,1
89321,2
74076,1
38436,4
74077,3
58039,1
74078,1
38438,1
89324,2
74079,3
38439,3
10312,1
64279,5
95563,33
89326,3
10314,1
89327,1
71002,1
10316,1
95566,1
71003,3
10317,1
71004,1
10319,1
71006,1
51407,1
71009,2
07150,1
07152,3
23190,1
07153,1
07154,1
07155,1
23193,3
58041,1
74080,56
38440,2
07156,7
74081,77
07157,5
23195,2
74082,11
38442,14
58044,3
74083,26
64282,2
64283,1
54482,16
58046,3
74085,32
38445,1
64284,10
23199,1
54483,12
38446,7
58048,1
89332,2
74087,4
74088,3
38448,2
64287,1
10321,4
74089,7
38449,16
95572,75
64289,3
10323,40
71010,3
95574,11
71011,1
89337,1
61210,1
10325,11
89338,10
61211,7
89339,1
10327,1
71014,59
61213,1
51413,3
10328,1
71015,1
61214,31
61215,1
51416,1
61218,2
51418,1
07161,1
07162,4
07163,2
07165,2
58051,4
74090,2
38450,5
07166,1
74091,3
38451,7
07167,4
64290,1
07168,3
38453,3
07169,1
74094,10
38454,6
74095,1
