code_insee,bars
85134,2
06088,377
12273,4
65286,29
18019,1
62839,2
59350,454
56098,16
93047,11
60291,2
72077,2
85128,13
88082,3
56127,6
59541,2
34154,17
24016,2
67482,204
25592,1
50066,5
58194,61
74063,16
75103,90
02691,60
86078,4
29171,3
81004,43
88160,41
73235,3
34113,3
33322,2
31451,8
87187,9
79285,2
22187,17
29117,6
81017,1
71270,41
94041,64
33236,16
44184,70
50129,88
69230,1
34155,2
01143,6
30345,2
62178,17
57767,1
40108,1
59183,104
35238,229
53140,1
2A212,3
86092,1
88486,4
86236,1
29179,4
29072,5
69383,106
68271,2
2A092,3
89296,1
58101,1
12164,5
31454,3
40257,1
93070,54
77382,4
02352,2
59220,12
81195,1
22070,14
27584,1
33240,2
62065,18
56114,3
79101,4
2A348,6
08490,9
85018,5
02131,2
57306,14
02668,1
62180,1
94076,17
59360,16
31150,3
16374,3
02071,1
56078,8
15120,12
69381,109
26033,4
38269,10
57019,13
57616,2
76711,11
59650,24
93046,20
35044,1
80308,3
53255,4
61339,3
33009,19
81115,1
80579,2
76259,21
80190,1
2A272,8
91657,13
74089,2
64545,9
13212,33
34258,3
85109,11
56185,7
05004,5
35055,3
88092,1
24037,39
58122,1
30227,7
83119,35
78646,58
62765,50
94046,36
01427,9
33540,12
07348,2
61181,3
62132,4
51287,1
11267,2
31315,2
22050,41
50626,1
48092,8
09032,7
48146,7
68193,3
24538,3
11202,14
18229,1
51535,3
68240,3
86293,2
26336,3
23096,16
76384,7
83021,2
22201,2
92014,3
32233,3
49007,181
35040,1
59193,3
59139,13
63003,6
38567,8
91421,9
68028,1
24223,5
73150,19
02722,27
70310,14
12214,2
35169,2
59094,5
44105,2
59194,1
17245,1
17293,1
33077,1
33305,1
33336,1
40002,5
40167,1
40333,1
47323,17
13053,4
26063,8
59352,4
26193,3
74212,2
76035,8
85194,71
58060,2
17415,30
46148,3
81065,32
66195,5
45234,108
60203,1
04090,1
53135,1
83072,7
08401,1
18242,3
31271,1
49125,10
37072,19
22147,3
67248,1
03306,2
91570,3
43262,1
55166,1
54112,2
51457,1
60402,2
66017,20
35085,8
27542,3
56243,9
35117,2
60134,1
39373,1
50109,2
64040,6
37273,3
82075,5
88498,1
87002,4
67544,7
68195,3
57630,18
44028,1
83146,2
88304,7
36237,1
31582,3
79003,2
79277,3
93073,11
16090,3
79062,3
59185,2
59323,1
94033,21
73098,1
29160,5
56067,4
30351,8
22162,20
35329,1
35202,1
21154,5
18249,2
84094,1
13071,10
71119,1
77095,2
74012,26
13065,7
30068,2
42193,1
92046,26
74233,2
01450,7
13013,1
78650,9
55010,2
29058,7
38394,2
33318,12
84087,22
33454,1
62711,2
60175,28
92073,25
67389,3
94004,5
2B314,1
44198,1
83133,1
68078,4
04031,2
80062,1
25393,1
71540,1
73218,1
34183,4
27090,2
72035,3
62588,7
71263,8
43216,3
22360,9
63284,5
32013,23
37042,2
31489,1
68255,1
10350,1
50165,4
50139,1
72176,5
31242,1
21201,1
51142,1
33323,1
88426,4
30019,2
42168,5
59527,7
40286,1
57134,2
43010,2
62031,1
59286,6
29147,2
03001,3
35139,4
61007,2
34022,1
88383,16
14656,1
03120,1
51043,2
59630,3
03112,1
84016,3
38110,1
91692,3
60508,1
84065,2
91016,2
14021,3
29197,3
69026,1
29031,9
14752,3
47094,1
64306,1
60377,1
94060,3
60647,1
83057,1
27246,4
77350,4
29187,1
76561,5
35024,2
38539,2
51202,1
25374,1
82072,2
28046,1
12186,1
06126,1
29256,3
85001,12
59509,5
62620,3
83123,12
22047,1
36158,1
37097,1
07101,1
77050,1
15005,1
67045,1
17286,4
14174,10
66193,2
62875,1
37188,1
83141,7
97220,7
83034,6
22222,8
63163,1
10033,9
60342,2
97115,6
53192,1
37029,1
15108,3
29172,3
44185,4
18241,6
23030,9
21412,2
91318,1
74303,3
59234,4
74263,5
76192,1
24464,1
26220,7
56144,5
12061,2
12177,2
10344,1
77464,5
58173,2
23065,1
69010,6
53016,1
71120,7
12261,1
21425,3
71153,17
2A099,1
69110,2
63089,1
56166,7
87051,1
22161,1
46128,3
29277,4
70467,3
02157,1
35167,3
69207,2
89201,1
2A070,2
33424,1
83092,4
62271,1
38093,1
61063,4
80071,1
84030,6
76255,11
81124,2
95582,8
35314,2
33552,2
26333,5
41242,5
26023,1
01064,1
02242,1
07069,1
62325,2
83142,1
60122,1
72339,1
95351,4
84129,7
30046,4
62328,2
23089,2
07110,3
59347,3
56054,3
28358,2
21297,2
03292,1
34336,2
19153,2
76075,1
56176,6
10437,2
01006,1
01011,1
01041,1
26084,2
69050,1
69071,1
69136,1
69238,3
50401,1
19213,1
26058,15
08322,1
53039,1
02483,1
86175,1
40151,1
46127,4
37093,1
94011,5
35051,3
40164,2
54382,6
53054,4
59027,2
23025,3
14098,3
56008,1
